FileName,md5Hash,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
0124e21d-018c-4ce0-92a3-b9e205a76bc0.dll,79755c51e413ed3c6be4635fd729a6e1,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,672,0,1
05c8318f98a5d301d80000009c316005.vertdll.dll,95e19f3657d34a432eada93221b0ea16,34404,84,121728,10,10,126576,4930,0,14,10,8,262144,16864,1024,0,1
06054fba-5619-4a86-a861-ffb0464bef5d.dll,85c32641d77a54e19ba8ea4ab305c791,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,672,0,1
075822ac99a5d301660400009c316005.adhapi.dll,62e3b959d982ef534b66f819fe15f085,34404,84,19904,10,10,21312,252,18160,14,10,6,262144,16736,1040,0,1
090607dd9ba5d301ca0900009c316005.SensorsNativeApi.V2.dll,ae38c5f7d313ad0ff3bfb8826476767f,34404,84,97728,10,10,105792,1852,70592,14,10,7,262144,16736,1096,0,1
0aedb43f9ba5d3014e0600009c316005.wlanapi.dll,28c98e000d02f8bfd9d050eb4e4c5d2e,34404,84,319776,10,10,374944,9208,312608,14,10,7,262144,16736,2072,0,1
0bc194f9-b102-4833-85bd-603e216a9274.dll,706463ecc8e48e9e3a2a12a0cfcb8858,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,672,0,1
0c7f9fdc9ba5d301c60900009c316005.wscsvc.dll,39da352fad220e83ce64de8dccb9736b,34404,84,197888,10,10,229024,112,187208,14,10,7,262144,16736,1328,0,1
1.0.154_chromesetup_154_59.exe,e11e70ba243800626d17e3ffa6c9fb71,332,28,4240,0,4,0,0,4096,8,0,3,1048576,256,8799820,0,1
1035f45d9ca5d3015b0a00009c316005.srclient.dll,a5a106d5d03e6e59b0282e72bc9420f1,34404,84,64704,10,10,67632,404,57648,14,10,6,262144,16736,1072,0,1
109b6ed1-e133-407f-b839-3fdd1ebc0d85.dll,212fdb291e0b5d8f34771bc1338c20b3,332,28,59496,0,4,0,0,8192,48,0,3,1048576,34112,1064,0,1
112ff2d99ca5d301590b00009c316005.mscoreei.dll,e313747a38c6bc267c9167d92bd2cb7f,34404,84,401484,10,6,418800,3784,405504,12,10,7,1048576,16736,1952,0,1
11b25aa499a5d301370400009c316005.pngfilt.dll,a2f43fac128db67452726d096fb77768,34404,84,56096,10,10,58544,108,42480,14,10,7,262144,16736,1016,0,1
128906669ca5d301730a00009c316005.TimeBrokerClient.dll,d2e6d99c9624a3f6ac7c8679f0e23e00,34404,84,24608,10,10,30816,328,22680,14,10,7,262144,16736,1072,0,1
MSBuildTaskHost.resources (10).dll,fd3313b819e4d121cb1551362420609c,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (11).dll,462da78784b24814d0538fa6dc2ced28,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (12).dll,d002e0973af380781e85fdc8b0ddf683,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (13).dll,333669b5ac0e3418e9d72393a2be2d8c,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (14).dll,5570b99ac52c4fd941331508b0ec2786,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (15).dll,ec9de465ca85f523ea84c07368741fcc,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (16).dll,de12836d9fb3050b1c4c5c47770624ee,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (17).dll,7bc94f59e94e9a6a38d83ead7b1eac34,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (18).dll,328f0ce88bd8a40fe85f0ba5d8e5f703,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (19).dll,5025f28b6052b19ea0a1c4332407d06b,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (2).dll,493f30fa92f8a9328eb0fe7602d14967,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (20).dll,e6868c88fa398c92624e071018fb72d1,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
MSBuildTaskHost.resources (21).dll,f1d97f85b4fd787baacae46cd0392e7b,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1
cofire (2).exe,897cd2558dfd134c19ed5bfe7db744c2,34404,84,19744,10,10,0,0,16656,14,10,6,524288,49504,2632,0,1
cofire (3).exe,68cd4550224cfb5a10f64932a751018e,34404,28,4832,6,6,0,0,4096,9,0,5,524288,33088,2632,0,1
cofiredm (2).dll,7d6f41ef283ffa7625fb7099ca81a300,34404,84,27328,10,10,28784,164,24848,14,10,6,262144,16736,5624,0,1
cofiredm (3).dll,2825cb1c632b73c9cad89ae19401092d,34404,28,4688,6,6,27616,164,4096,9,0,5,262144,320,5432,0,1
coin99ip (2).dll,6f64e1dae7aac2c3fab0532940d03a1f,34404,56,4352,6,6,393648,111,446464,12,0,6,262144,352,1760,0,1
coin99itp (2).dll,97f49d2e040b2e01150155e680422dfc,34404,56,4352,6,6,393648,111,446464,12,0,6,262144,352,1760,0,1
colbact (2).dll,438c92a1fcaab17d21b4bb2ae5c4bc4f,332,84,12368,10,10,61024,286,73728,14,10,6,262144,16704,992,0,1
colbact (3).dll,2a6732281dc2c4eca55f14ead4ae61c1,34404,84,68096,10,10,72752,288,58960,14,10,7,262144,16736,992,0,1
colbact (5).dll,930085c5118b5efe774a73b11368d127,332,28,4816,6,6,72464,286,4096,9,0,4,262144,320,992,0,1
colbact (6).dll,0ea4c75f2f306ac4e64f6966a11cbfe2,34404,28,5536,6,6,88432,286,4096,9,0,5,262144,320,992,0,1
Collate.dll,b80b82997be6318a45a3933da2144275,34404,28,712704,0,4,729088,148,733600,2,28,10,2097152,0,0,0,1
ColleagueImport.dll,b6f8b2e330f0c3efd83e7aeec8e75888,332,84,59780,0,6,86016,188,61440,14,10,6,1048576,320,4736,0,1
coloader80 (2).dll,4b8034a1db3632fc8d4bf812f9d6f05e,332,84,87004,10,6,8360,165,98304,14,10,5,1048576,320,2880,0,1
coloader80.dll,cd8ac0d7d308b641881801330ec479f1,332,84,86988,10,6,8348,165,98304,14,10,5,1048576,320,2888,0,1
COLORCNV (2).DLL,2ed66c399ea5fccfdf04248f5d30d5a6,332,84,11024,10,10,160160,189,196608,14,10,6,262144,16704,1088,0,1
COLORCNV (3).DLL,b6bf460cbc619df426ece5b8a0a703e3,34404,84,172224,10,10,181344,192,169544,14,10,7,262144,16736,1088,0,1
envdte (2).dll,6fd12e34aede522faced4ea95813b123,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,952,0,1
envdte.dll,1dae8e172f78d4d24ddc26ca470487a9,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,952,0,1
envdte100 (2).dll,fbe877911cba926adb021f8899f4ac14,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,960,0,1
envdte80 (2).dll,26be4df34b12ed5ab94a7aef82ce4617,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,968,0,1
envdte80.dll,efab8f70b0cefa5de24abcba06e80f7d,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,968,0,1
envdte90 (2).dll,dfb9a809db7bf971cc967f5beaebd189,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,952,0,1
envdte90.dll,1356f1101bf8cf7f36b23a86c194882a,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,952,0,1
envdte90a (2).dll,ecbd692fbd57fe73d74769a6309271a2,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,952,0,1
envdte90a.dll,0065882cfaf15db3e4ade0306b26a30a,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,952,0,1
ENVELOPE.DLL,d91b2341388186e3e14e901a41282b56,332,84,119964,0,6,143360,147,122880,14,10,6,1048576,320,2032,0,1
ENVELOPR.DLL,3027ec036c92542660322cf87064a4e7,332,28,4096,0,6,4128,56,0,14,10,2,1048576,1344,9076,0,1
envsubst (2).exe,6cf856d438353d7f3920bb085f0378c0,34404,0,0,0,4,0,0,128064,2,27,10,2097152,0,2760,0,1
envsubst.exe,db56c4ce92780945c861a935b7a9ca62,34404,28,36864,0,4,0,0,53924,2,25,9,2097152,32768,2760,0,1
ep0icb1 (2).dll,770861de8f9c2cb984abd88d070e1281,34404,28,4864,6,6,56608,182,4096,9,0,5,262144,64,1632,0,1
ep0icb1 (3).dll,5165c51215cb2d289e27c64d7de895d5,34404,28,4880,6,6,59808,182,4096,9,0,5,262144,64,1632,0,1
ep0icd0.dll,6e310030a1d937d0a1749705620743c0,34404,28,4720,6,6,83296,148,4096,9,0,6,262144,64,1432,0,1
ep0icd1 (2).dll,65f13e261d8c841254c65d071ec6dc9f,34404,28,4864,6,6,82992,182,4096,9,0,5,262144,64,1632,0,1
ep0icd1 (3).dll,7e12aa6e0265bd9340e518c176cf4d65,34404,28,4880,6,6,86512,182,4096,9,0,5,262144,64,1632,0,1
ep0icd2 (2).dll,5637d356b70fdbc08f313d2e2c472a4c,34404,28,4464,6,6,83184,182,94208,11,0,6,262144,16736,1568,0,1
ep0icd3 (2).dll,081690b4f9c52130a459e11818720ce2,34404,28,4464,6,6,83264,182,94208,11,0,6,262144,16736,1568,0,1
ep0icn1 (2).dll,325337f680d4a4e1ac15ac1536a00ffe,34404,28,5152,6,6,196256,182,4096,9,0,5,262144,64,1632,0,1
ep0icn1 (3).dll,8d25bbd671d4547e0259c3f617185ea8,34404,28,5168,6,6,200464,182,4096,9,0,5,262144,64,1632,0,1
12ebcb929ca5d301cb0a00009c316005.WPTaskScheduler.dll,f1523b0b73c5454b41e610698a420108,34404,84,136416,10,10,158752,112,130680,14,10,7,262144,16736,1328,0,1
1hau17w8.exe,e4ab5337ff294d870fa8a0b5a4dbe29d,332,0,0,6,5,0,0,94972,2,25,8,1048576,32768,45056,0,1
2to3.exe,b0f5b446e564372cc86bca957a5969da,34404,0,0,0,4,0,0,373716,2,27,10,2097152,0,2512,0,1
4758ccaeay32.dll,c4f5b79e150b91a9ac66c8c2213f15ef,332,28,53370,1,4,32768,97,37272,2,29,11,2097152,0,0,0,1
5ac5626f9ba5d301b00600009c316005.rasadhlp.dll,ffd0ebce661fbbb615e9ff6309fd0aa7,34404,84,13168,10,10,14992,188,12560,14,10,7,262144,16736,1040,0,1
7018eaf79ca5d3015e0b00009c316005.msvcr120_clr0400.dll,99e982747b36af703209b734d9d05263,34404,28,718736,10,6,870608,52135,708608,12,10,7,1048576,16736,1056,0,1
7z.exe,795bda1aac885134eb978ca187026381,34404,0,0,0,4,0,0,319488,8,0,5,1048576,33024,784,0,1
9638a0909ca5d301c50a00009c316005.vsstrace.dll,0e23294b1a3680f2e26e23ba8ca3c737,34404,84,45056,10,10,62112,552,41496,14,10,7,262144,16736,1376,0,1
A3DUtils.dll,465f88995f65e0976ef6509298e7f6e1,332,56,115312,0,6,147072,748,114688,12,0,5,1048576,320,1504,0,1
Accessibility (3).dll,f33d441616151e7ae3705ef4b2f235ad,332,28,8400,0,4,0,0,8192,11,0,3,1048576,34112,1064,0,1
accevent (3).exe,fc34a2ad862308cd36ea248f25671277,34404,84,123152,10,10,0,0,77824,14,10,6,524288,49504,6320,0,1
AccountsRt (4).dll,f9df89d7949df0e69bbb2f57ee1b6f1a,332,84,33584,10,10,329472,143,335872,14,10,6,262144,16704,2592,0,1
ACEODATA.DLL,32303afdf4fbfe93c0e2b4ec4192eeb8,332,84,41188,0,6,57344,112,45056,14,10,4,1048576,320,0,0,1
acrobat505.exe,2962255a8318df62ddab73611ac22bf1,332,0,0,0,4,0,0,107244,5,0,5,1048576,0,41640,0,1
AcroSup64.dll,cb58578d6061c3dbe93abb2c21173ea8,332,56,74144,0,6,99936,292,73728,12,0,5,1048576,320,1488,0,1
ActionCenterCPL.dll,80e00139bd8306c3dd3acb9c3399cd78,332,84,21392,10,10,83632,172,90112,14,10,6,262144,16704,438488,0,1
